"","brnn_predictions","merged_data.Rating","merged_data.Year","minutes","pct3PRate","pctFTRate","pctORB","pctDRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioWSPer48","ratioDBPM","X.","Rating"
"121",73.9621580445844,74,2020,-1.53684883922248,-1.59434292101615,1.10677841850451,-0.315131996824797,1.6783592137186,-0.952614692482675,-0.488061630371558,-0.429652673265847,0.235646550888252,-0.333655042588302,-0.571363722810607,0.797225354895986,0.355490174262602,0.104085115231631,-0.185797629811158
"122",71.0218455533588,71,2020,-1.74223948769257,-1.59434292101615,-0.306647738736352,2.16772615997663,0.31317429113216,0.63214763343182,-0.488061630371558,-0.272089290913189,-1.91304081048039,1.40842077368081,-0.571363722810607,3.64209524564232,0.84862300798467,-0.532130609394434,-0.783391710583977
"126",70.9975270453957,71,2020,-0.994708342652739,-0.0423852440199449,0.371657888804896,0.626171370314207,0.0982840718361465,-0.922900398871778,-0.420598258153896,-0.298349854638632,-0.860924930086088,0.0534729165826132,-0.450410475139777,0.992168047519557,1.81280512723186,0.660818162494064,-0.783391710583977
"128",68.0057322542874,68,2020,-1.53684883922248,0.439585883734679,-1.98724135400543,-0.533405241378769,-0.36941817016106,0.87976674685596,-0.390614537168269,-0.433404182369481,1.79159257118968,-0.785304328287701,-0.848989912480604,-1.43900648955123,0.620343742786785,-0.319326317381433,-1.48409773657962
"132",85.0789643086118,85,2020,-0.254193624979458,0.110211778050092,1.54983913818279,4.92342587247053,-0.280933962215642,1.57310026444355,-0.368126746429049,-0.613476619343948,0.235646550888252,0.521252533914135,0.332766324965261,1.12921242229015,0.31247362321274,-1.11244689159946,1.38291678196058
"133",75.9941824712108,76,2020,-0.856354942491167,-0.0423852440199449,1.65338489460118,-0.0900377133785134,0.780876533129366,-1.10118616053716,2.88510698051151,-0.44841021878402,0.0726426820947691,0.13412457474322,-0.235588694264219,0.60743092109487,-0.667058196488228,1.20540484736787,0.164586141946783
"136",84.1254080718657,84,2020,-0.360412832757059,-1.59434292101615,0.358471097605015,0.162340725637017,2.2092644613911,-0.87337657618695,-0.43559011864671,-0.369628527607691,-0.43118745781236,-0.382046037484666,0.192029048082811,1.3201031553513,1.51621497526957,0.176150887934848,1.27121024023552
"139",78.9935283672505,79,2020,-0.415074700435158,-0.557843364675385,0.724028300593812,0.421540203544858,1.04632915696562,-0.635662227299776,-0.44683401401632,-0.575961528307601,-0.0310870525919929,0.0212122533183698,0.116121789407795,0.456967387514507,-0.424124388388856,1.39396250545696,0.629356557883113
"141",76.9009439236272,77,2020,-0.312224913699178,-0.365000307728577,-0.0147603173793782,-0.315131996824797,-0.925604620103683,-0.13051923591453,-0.450581979139524,0.136825201382996,-0.638646927185884,1.26324778899172,-0.338950442039972,-0.417104750432367,-1.03262786359585,-1.32134190796824,0.327118419748069
"144",72.9923121479773,73,2020,-0.537028195312539,-0.42934304663126,-0.636155526328494,-0.294668880147862,-0.69807379967261,0.859957217782029,2.88510698051151,-0.500931346234906,0.739476690795381,-0.527219022173759,-0.848989912480604,-0.880145387543591,-0.131964518343562,-0.319326317381433,-0.374765822209965
"146",71.8263320288822,72,2020,-1.63409793397536,-0.0747131418264124,-1.98724135400543,-0.533405241378769,-1.46915046891125,-1.38842433210916,-0.488061630371558,-0.613476619343948,-1.91304081048039,-0.672392006862852,-0.70360157760461,-1.21879951335746,-1.72418694970373,-1.58791743355503,-0.573737938258313
"149",74.9813208488985,75,2020,-0.435366317695185,-0.139325178528118,0.049837891799825,-0.390163424640225,-1.1404948393997,1.30567162194548,2.88510698051151,-0.613476619343948,-0.41636892428568,-0.0917000681064799,-0.13921762998074,0.0790436830017582,-0.835326720241946,0.104085115231631,-0.00620687947820712
"151",71.9010835426307,72,2020,-1.68483197797678,1.87436229134177,-1.98724135400543,-0.533405241378769,0.148846476376385,-0.110709706840599,-0.488061630371558,-0.613476619343948,0.206009483834892,1.16646579919899,-0.848989912480604,-1.7012146546082,-1.25751278058716,-0.787088947658043,-0.573737938258313
"155",74.9533443260418,75,2020,-0.747553824933259,-1.30526207119187,0.224172337940637,0.0736672200369655,-0.36941817016106,-0.704995579058535,-0.416850293030693,-0.425901164162212,0.472743087315136,-0.930477312976794,-0.235588694264219,0.354746329373884,0.620343742786785,0.997142166099756,-0.00620687947820712
"158",92.2865748199543,92,2020,-0.0810804145184097,0.523312989588215,1.09591090696739,-0.444731735778718,-0.495824181511656,1.66224314527624,-0.43559011864671,-0.568458510100331,-0.297820656072238,1.53746342673779,0.928304009351046,1.52887925873743,-0.494539424507303,-1.97748471470821,2.04265776727145
"161",72.9919441265849,73,2020,-0.635964792453041,0.165780077654532,0.900298764227259,-0.267384724578616,-0.0660437429196288,-0.160233529525427,-0.428094188400303,-0.613476619343948,-0.283002122545557,0.279297559432313,-0.450410475139777,-0.553797433123897,-0.934553497011451,-1.58791743355503,-0.374765822209965
